151.101.37.194|257ms|185.222.222.222
69.171.247.32|1m39s|223.5.5.5
4.78.139.54|1m39s|208.67.222.222
69.171.229.11|1m39s|195.46.39.39
199.96.63.163|1m39s|119.29.29.29
192.133.77.189|1m39s|168.126.63.1
103.240.180.117|1m39s|180.184.1.1
154.83.15.45|1m39s|156.154.70.1
31.13.95.33|1m39s|9.9.9.9
31.13.87.34|1m39s|45.11.45.11
199.59.148.206|1m39s|114.114.114.114
202.160.128.205|1m39s|8.20.247.20
108.160.172.200|1m39s|1.1.1.1
128.121.243.106|1m39s|182.254.118.118
199.59.148.247|1m39s|84.200.69.80
199.16.156.39|1m39s|94.140.14.14
199.59.149.237|1m39s|74.82.42.42
128.242.240.29|1m39s|8.26.56.26
108.160.166.253|1m39s|4.2.2.1
75.126.135.131|1m39s|80.80.80.80
162.125.82.7|1m39s|199.85.126.10
31.13.82.33|1m39s|77.88.8.8
202.160.129.36|1m39s|180.76.76.76
50.23.209.199|1m39s|101.226.4.6
199.16.156.38|1m39s|1.2.4.8
104.244.46.211|1m39s|64.6.64.6
75.126.150.210|1m39s|8.8.8.8
